country,Mid_range_meal_pp,One_way_local_transport_ticket,Apartment,temperature_celsius,wind_kph,humidity,uv_index,condition_text,condition_category,HRS_of_light,Disaster_Count,Median_Severity,Unique_Days_Under_Threat
Philippines,8.5,0.28,239.16,29.76986301369863,13.029863013698629,73.34794520547945,0.8452054794520548,partly cloudy,Partly Cloudy,0.53,19.0,1.0,120.0
Poland,13.97,0.79,425.9,13.88082191780822,14.32986301369863,61.95342465753425,3.276164383561644,sunny,Clear,0.47,1.0,0.0,7.0
Portugal,17.58,1.7,633.97,18.05178082191781,15.57123287671233,73.53698630136986,3.1002739726027397,partly cloudy,Partly Cloudy,0.62,2.0,0.25,12.0
Qatar,24.03,0.55,1435.58,32.45972602739726,19.238630136986306,39.3041095890411,7.298356164383562,sunny,Clear,0.57,0.0,0.0,0.0
Romania,13.83,0.55,260.99,17.49342465753425,12.37945205479452,53.11506849315069,4.148767123287671,sunny,Clear,0.46,3.0,0.0,11.0
Russia,19.26,0.52,393.1,11.468767123287671,14.742465753424655,63.33698630136986,3.1035616438356164,sunny,Clear,0.73,0.0,0.0,0.0
Rwanda,15.25,0.32,428.83,25.72246575342466,7.616986301369862,51.583561643835615,9.665479452054797,partly cloudy,Partly Cloudy,0.49,2.0,0.5,4.0
Saint Kitts And Nevis,46.26,1.11,610.53,27.02794520547945,24.507123287671234,78.17534246575343,2.20027397260274,partly cloudy,Partly Cloudy,0.55,0.0,0.0,0.0
Saint Lucia,31.45,0.93,478.76,27.291780821917808,19.866301369863013,80.84657534246575,2.303287671232877,partly cloudy,Partly Cloudy,0.53,0.0,0.0,0.0
Saint Vincent And The Grenadines,32.38,0.74,342.27,27.67287671232877,25.26821917808219,75.3945205479452,2.257808219178082,patchy rain nearby,Rain,0.53,0.0,0.0,0.0
Samoa,14.94,2.15,1073.79,25.70986301369863,19.22219178082192,88.07945205479452,0.4071232876712328,partly cloudy,Partly Cloudy,0.52,0.0,0.0,0.0
San Marino,27.18,2.08,532.33,17.8413698630137,12.90931506849315,66.74246575342465,3.476438356164384,sunny,Clear,0.37,0.0,0.0,0.0
Saudi Arabia,18.31,0.84,359.62,32.201369863013696,16.525753424657534,16.67945205479452,7.996712328767123,sunny,Clear,0.5,1.0,0.25,1.0
Senegal,19.6,0.36,448.44,25.08164383561644,20.82109589041096,72.2958904109589,3.6347945205479455,sunny,Clear,0.53,3.0,0.0,4.0
Serbia,10.44,0.85,189.85,17.244657534246574,12.77068493150685,56.76986301369863,3.9649315068493154,sunny,Clear,0.65,5.0,0.25,27.0
Sierra Leone,15.0,0.15,1438.66,26.913150684931505,9.64986301369863,77.44657534246575,3.7936986301369866,partly cloudy,Partly Cloudy,0.51,1.0,0.25,5.0
Singapore,30.03,1.46,2660.73,29.0,13.105205479452051,73.36438356164383,1.703013698630137,partly cloudy,Partly Cloudy,0.51,0.0,0.0,0.0
Slovakia,14.48,0.83,441.58,14.884383561643835,15.113972602739729,62.11506849315069,3.3734246575342466,sunny,Clear,0.46,2.0,0.0,7.0
Slovenia,17.82,1.42,415.75,14.65808219178082,7.3742465753424655,67.86575342465754,3.1843835616438354,partly cloudy,Partly Cloudy,0.55,3.0,0.5,9.0
Solomon Islands,27.36,0.36,587.72,26.336164383561645,8.667123287671233,88.5013698630137,0.4054794520547945,partly cloudy,Partly Cloudy,0.5,1.0,1.0,2.0
Somalia,9.33,1.46,203.34,29.144657534246573,27.655342465753428,73.58630136986301,9.402739726027397,partly cloudy,Partly Cloudy,0.52,6.0,1.0,99.0
South Africa,15.56,1.35,350.23,23.46849315068493,12.766575342465751,40.21095890410959,8.55917808219178,sunny,Clear,0.44,12.0,0.25,36.0
South Korea,14.79,1.01,372.7,14.50219178082192,10.035890410958904,66.65479452054795,0.6356164383561644,clear,Clear,0.51,0.0,0.0,0.0
Spain,21.32,1.56,651.58,17.300273972602742,11.432054794520548,58.29041095890411,3.60986301369863,sunny,Clear,0.63,7.0,0.0,306.0
Sri Lanka,3.44,0.17,81.11,29.867123287671237,16.34,74.72602739726027,3.5767123287671234,partly cloudy,Partly Cloudy,0.51,5.0,0.5,49.0
Sudan,10.0,0.45,293.96,34.07068493150685,17.74027397260274,31.98630136986301,8.297534246575342,sunny,Clear,0.53,0.0,0.0,0.0
Suriname,40.0,0.44,394.71,24.952328767123287,9.326027397260274,90.86301369863014,2.36,partly cloudy,Partly Cloudy,0.52,1.0,0.0,1.0
Swaziland,5.93,1.17,285.14,23.696164383561644,10.361917808219175,51.40547945205479,8.047123287671232,sunny,Clear,0.51,0.0,0.0,0.0
Sweden,32.07,2.82,717.9,10.9813698630137,15.384657534246577,68.10958904109589,2.4983561643835617,sunny,Clear,0.78,1.0,0.0,7.0
Switzerland,54.42,3.86,1450.99,12.844931506849314,7.469315068493151,71.1917808219178,2.775616438356165,partly cloudy,Partly Cloudy,0.55,3.0,0.0,11.0
Syria,8.87,0.1,134.46,24.26493150684932,15.88164383561644,30.18082191780822,6.102739726027397,sunny,Clear,0.5,0.0,0.0,0.0
Tajikistan,5.52,0.3,388.58,21.80520547945205,7.271780821917807,38.30958904109589,4.365753424657535,sunny,Clear,0.51,2.0,0.25,5.0
Tanzania,13.2,0.32,248.32,27.44301369863014,11.836712328767122,45.04383561643836,10.473698630136989,partly cloudy,Partly Cloudy,0.49,0.0,0.0,0.0
Thailand,11.08,0.6,203.17,29.22082191780822,8.614794520547946,75.78630136986301,1.916438356164384,partly cloudy,Partly Cloudy,0.53,5.0,0.5,11.0
Timor-Leste,20.0,0.25,680.0,25.974520547945207,8.683013698630138,77.58356164383562,0.82986301369863,patchy rain nearby,Rain,0.49,0.0,0.0,0.0
Togo,9.94,0.79,255.34,27.9,19.1,74.0,6.0,light rain shower,Rain,0.52,0.0,0.0,0.0
Tonga,24.88,0.79,393.905,23.72986301369863,21.70739726027397,88.41917808219178,0.4054794520547945,partly cloudy,Partly Cloudy,0.51,0.0,0.0,0.0
Trinidad And Tobago,34.05,1.37,389.14,25.85780821917808,11.216164383561644,86.59726027397261,2.3917808219178083,partly cloudy,Partly Cloudy,0.52,0.0,0.0,0.0
Tunisia,6.69,0.22,129.2,23.581917808219178,15.792876712328766,57.06575342465754,4.442191780821919,partly cloudy,Partly Cloudy,0.5,5.0,0.25,7.0
Turkey,6.69,0.35,168.26,26.930958904109588,17.2427397260274,37.2,6.267123287671233,sunny,Clear,0.61,0.0,0.0,0.0
Turkmenistan,65.53,0.17,537.75,23.030958904109585,13.40027397260274,38.24383561643835,5.159452054794521,partly cloudy,Partly Cloudy,0.5,0.0,0.0,0.0
Tuvalu,5.2,0.79,113.43,28.68712328767123,17.26958904109589,82.32602739726028,0.4054794520547945,partly cloudy,Partly Cloudy,0.49,0.0,0.0,0.0
Uganda,8.16,0.57,147.63,26.587945205479453,11.155068493150685,58.21643835616438,8.905753424657535,partly cloudy,Partly Cloudy,0.51,4.0,0.0,28.0
Ukraine,7.54,0.26,217.53,14.21890410958904,14.507397260273972,52.93972602739726,3.572054794520548,sunny,Clear,0.46,3.0,0.25,4.0
