country,Holiday_Index_PCA,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Egypt,0.7251544004182492,-1.122867759144387,1.7204512031900032,-0.4252620654389784,-0.1647113762265558,0.0317449390435722,-0.082710518240597,-0.0185203424640691
El Salvador,0.6748343368030213,-0.4225948252668654,-0.495461018993141,-1.3545476505631326,1.038493596262735,-1.150248692511498,-0.5332572148055409,0.2762827172261545
Equatorial Guinea,0.7152187624702482,-0.3300933088206558,0.2083340745063473,0.2872588811835406,0.2149031214730243,-0.785181087422659,1.0416864150121077,0.4023698216181203
Eritrea,0.8050382674605018,-0.4288446123494923,1.3955760363124388,-0.6402337531739164,0.0369739085522713,-1.1632360069316738,0.5813557671084085,-0.7809046095280339
Estonia,0.8414831798657255,1.2193840646006298,-0.2072675364616259,-1.1715799688580248,-1.1196432227716984,0.7338589665776085,-0.4338182336272793,-0.9221242904533212
Ethiopia,0.4849216822687299,-1.8510740016053595,0.787839626774996,0.5907448244324254,1.115165031701064,0.9145253988743868,1.1382256325588065,-1.1591424708516862
Finland,0.9715845937889835,3.069692876874625,-0.9520492823993152,-0.0429404853318192,-1.193759341611896,0.7835867078828056,0.8683504767364005,0.0416907433513601
France,0.6755285202838731,0.6825382590657265,-1.5546697909859448,0.0599669647168386,-0.4849688006610467,0.1221330426208029,0.0233617877299394,0.1375163058946209
Gabon,0.7247311121344562,0.4247795598395816,0.610432182676684,0.8763929039694713,1.0114103754883623,-0.8897432760517264,0.1838993630349871,-0.3381836520213295
Georgia,0.6338605865143596,-0.6044103133458331,0.0318526494254132,-0.8170462057933512,0.6523889292911951,0.367109423615187,0.0461820144861054,-0.6296356260397404
Germany,0.8712997537842668,1.8279491827495973,-0.9925638060972216,-0.1504512762705045,-0.983757232417619,0.1785095456633162,0.7318097664456109,0.4826980395039649
Ghana,0.5943645678212799,-1.3948100799173735,1.1393337021368322,0.075921598339761,0.6859557345075228,0.6203750035394258,-0.239638888544734,0.2317946516748933
Greece,0.6815712127314,-0.2166047680396668,-0.0550425556838834,0.4187152608509434,-0.593252211276255,0.0246835629941552,-0.0341531517903655,0.3525283343789668
Guatemala,0.46584824518751455,-0.8213741930728382,-1.3208030975777083,-0.728906821725662,1.951071755378606,1.1334287251723836,0.1284799943405002,-0.1934873084317438
Guinea,0.5194535283145522,-0.9311113225459712,0.08727710122207,0.3652009280056185,1.8255918004473497,1.046728482834769,0.209656933124944,0.3912324287419964
Guinea-Bissau,0.6544615883185316,-0.8088274924732735,0.6191883424788864,-0.4443749505140738,0.8076450762314026,0.3445467051435732,-0.046196673475169,0.5455447623695654
Guyana,0.7999737595926003,0.4300980990416062,0.1595536515935583,-0.978888864631768,0.3474159589774898,-0.8982023916658174,-0.4194074895039525,0.1953304637630625
Haiti,0.6473554719878661,0.1819806941687571,-0.4658696014414741,-0.2462301373598065,1.1686869061437033,-0.0879556093636319,-0.2136375335897745,-0.2208468604459262
Honduras,0.2931376279317261,-1.915687586270564,-2.67434365498038,0.6403330824538291,0.0470842604343165,-0.0570472223308797,0.2195326207893833,-1.106476252237665
Hungary,0.7983358747304589,0.3242965676852581,-0.1010472797462247,-1.3550404658805089,-0.3261737958764434,-0.3231302115002844,0.115243842036574,-0.3689285905626961
Iceland,0.865165970663265,3.450957713216207,-1.0908219921103863,1.1551208941836288,-1.7104917499986712,2.280473966141107,-0.4453369634743623,-1.0801271315772083
India,0.2813829742816395,-3.497627239232928,-1.913672152072871,1.1327660026440924,-1.3951421235817107,-1.1703895684854533,-1.2709936036320175,1.9483929842984853
Indonesia,0.11766270487923876,-3.6017108739997568,-3.078475738314582,1.7294175025442453,-1.3054702244282814,-0.5079973505886366,-1.0122869572568085,0.3076299114169604
Iran,0.8213761548942055,-0.1084386420648922,1.7587433676051776,-0.0509036217528708,-0.1780103586959674,-0.740000031677638,-0.2593109958891487,-0.1669943941246282
Iraq,0.7133607077593698,-1.0607731271394905,1.6934624428092453,0.2183335187747013,-0.3000746419946837,-0.0574743973624149,-0.2130966269012833,0.4016505964554355
Ireland,0.9395910822241456,3.11952372392282,-1.00982967171863,0.1802186527854096,-0.6272264139366974,0.3376657671224441,0.3576350661820712,-0.0926229251477348
Israel,0.9266033631444369,1.8722577327270664,0.9592846495736482,0.8944790349939005,-0.3328118904024905,-0.5587381078975993,0.2744339580146839,-0.2379200814032668
Italy,0.4358795866766987,-1.0405236778831315,-2.6812107016417124,2.0102772169201675,-2.181941578582872,-1.2724397503167268,0.0981160565788238,-0.4863734255303628
Jamaica,0.8028485469885598,0.2297909001159671,0.2311963114857697,-0.9939221921653266,0.3655804446999368,-0.9244700334084108,-0.1859109169381451,0.6918437442973211
Japan,0.6845090401759747,0.467773957800309,-1.0132578214864585,-0.2483371372311154,-0.6834234129894138,0.8940659404146742,-0.8390011165824807,0.844261346258275
